run	idx_in_front	CT	LoadSTD	QLoss	station_loads	station_assignment	tool_assignment
1	1	450	92.843931	0.183486	[450.00,407.70,420.00,176.80,435.40,366.30]	[5,5,4,4,5,3,4,1,1,1,3,4,1,4,4,5,4,1,0,3,5,2,4,1]	[0,1,0,0,0,0,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
1	2	476.8	74.604952	0.174511	[378.60,308.00,450.00,476.80,261.60,382.40]	[3,1,4,4,0,5,5,0,4,1,1,4,0,5,0,5,0,5,2,4,1,3,0,1]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
1	3	492.8	97.412502	0.16771	[363.40,258.30,244.50,492.80,450.00,456.80]	[0,3,1,3,3,0,2,1,0,2,0,2,2,3,0,3,0,3,4,3,0,5,1,5]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
1	4	506.2	77.133443	0.173432	[506.20,348.60,262.40,395.40,323.30,420.00]	[3,2,0,1,3,4,4,4,1,4,3,3,3,2,2,1,1,1,0,3,2,5,2,3]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
1	5	550	134.385982	0.166569	[533.40,260.10,550.00,194.80,304.50,420.00]	[1,4,1,1,1,3,1,4,4,0,2,3,0,0,0,0,3,0,2,4,0,5,3,0]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
1	6	579.3	187.082278	0.166485	[576.80,128.60,420.00,579.30,126.50,430.40]	[4,3,3,1,3,3,0,5,0,4,3,3,0,3,3,5,3,5,0,1,3,2,1,5]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
1	7	591.6	190.986026	0.166048	[591.60,511.80,168.60,411.30,71.50,506.20]	[1,3,5,3,0,4,0,0,2,0,3,0,3,2,0,3,0,2,5,0,1,1,0,4]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
1	8	613.6	183.477541	0.166143	[496.00,435.00,450.00,613.60,116.80,141.50]	[4,0,0,3,0,0,1,0,3,5,1,1,3,4,0,1,5,0,2,3,3,3,1,5]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
1	9	660.4	252.530854	0.162789	[619.00,660.40,110.00,595.00,201.80,70.00]	[0,0,0,0,0,0,3,4,1,5,1,0,0,3,3,0,1,2,1,4,1,3,2,0]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
1	10	688.1	165.562271	0.165281	[688.10,208.60,240.00,447.50,259.80,420.00]	[0,0,3,1,4,4,1,3,3,3,4,2,4,3,3,2,0,1,0,0,1,5,4,0]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
1	11	724.5	221.18694	0.164492	[331.90,724.50,420.00,548.60,161.80,71.80]	[0,1,0,3,1,0,4,3,0,0,1,3,5,1,3,3,4,4,1,0,5,2,3,0]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
1	12	1326.3	455.324113	0.159565	[320.00,469.20,60.00,1326.30,35.00,40.00]	[0,1,3,3,3,4,3,0,0,1,1,3,0,3,2,1,1,3,3,3,1,3,5,0]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
2	1	456.8	91.589404	0.176637	[426.00,456.80,428.30,265.10,450.00,231.80]	[3,0,3,2,3,3,0,0,5,2,0,2,1,5,5,2,3,2,4,0,3,1,5,5]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
2	2	475	64.795207	0.18161	[475.00,450.00,294.80,358.60,350.40,327.40]	[2,4,2,2,3,5,0,3,4,4,4,3,3,5,2,5,3,5,1,2,2,0,4,4]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
2	3	491.8	127.532537	0.173759	[491.80,303.60,486.80,488.60,339.80,146.50]	[3,5,4,4,5,1,1,3,2,1,3,1,4,1,3,4,0,3,2,4,0,0,3,5]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
2	4	496.8	101.000869	0.169436	[231.80,428.30,475.00,362.80,496.80,261.50]	[3,5,3,0,4,3,2,5,0,1,1,0,5,1,3,1,3,0,4,3,3,2,3,1]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
2	5	531.2	146.061065	0.168269	[515.40,282.70,220.00,193.00,510.00,531.20]	[3,3,1,1,1,3,0,0,3,5,1,0,0,2,4,2,1,0,4,0,0,5,5,0]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
2	6	536.3	149.644609	0.167448	[373.60,258.00,496.80,536.30,112.70,480.00]	[3,3,1,3,2,4,1,3,0,1,3,0,0,0,5,0,1,3,2,1,3,5,4,4]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
2	7	538.6	99.900128	0.174659	[331.80,293.60,538.60,314.80,286.80,490.00]	[0,1,3,3,2,1,4,4,4,1,3,0,4,1,1,0,2,3,5,3,2,2,5,0]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
2	8	546.2	138.945189	0.164716	[464.20,456.20,126.20,383.60,546.20,275.00]	[3,0,4,3,3,1,2,0,3,2,0,5,3,3,0,5,0,3,4,4,5,1,0,3]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
2	9	558.1	183.599579	0.164106	[558.10,506.80,106.50,452.80,500.00,135.00]	[1,3,3,0,3,0,0,0,0,2,3,4,2,5,0,0,3,3,1,3,5,4,5,3]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
2	10	690.4	195.953518	0.163577	[443.10,276.80,60.00,690.40,304.80,486.80]	[1,0,0,3,3,4,0,1,0,0,3,0,4,1,2,4,0,4,5,0,3,3,3,5]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
2	11	878	288.006728	0.163413	[625.10,156.50,35.00,878.00,300.40,260.00]	[0,1,1,3,0,0,3,4,2,3,5,3,0,4,3,5,1,3,0,4,3,3,3,4]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
3	1	486.8	90.065266	0.186339	[455.00,486.80,225.40,358.60,424.80,306.80]	[4,4,5,2,5,5,3,4,1,5,2,4,3,4,5,3,2,3,1,2,0,0,5,3]	[0,1,0,0,0,0,2,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
3	2	490	90.280977	0.178673	[490.00,266.80,466.80,424.80,264.80,344.50]	[5,4,3,2,4,5,5,3,5,3,5,4,1,3,5,1,3,4,0,0,1,2,3,1]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
3	3	490	122.313895	0.178058	[301.00,490.00,456.80,138.00,425.40,450.40]	[5,4,3,4,3,3,0,5,4,0,5,4,0,5,0,4,4,5,1,1,0,2,0,2]	[0,0,0,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
3	4	496.8	107.572621	0.175545	[393.90,228.60,496.80,460.00,446.30,231.80]	[4,4,0,0,2,0,4,0,4,1,4,1,5,4,0,5,0,4,2,1,1,3,3,5]	[0,1,1,0,0,1,2,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
3	5	503.3	129.818985	0.172418	[474.80,395.10,193.60,205.00,503.30,486.80]	[2,1,1,3,4,4,0,3,0,0,2,0,5,0,0,1,2,0,5,0,1,4,1,1]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
3	6	511.8	102.890082	0.177021	[511.80,486.80,377.40,308.60,364.50,208.30]	[4,5,2,3,3,5,0,4,1,4,2,3,0,3,2,2,5,5,1,4,3,0,3,4]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
3	7	520	119.124171	0.174462	[309.50,510.00,360.40,385.40,171.80,520.00]	[2,0,0,0,3,0,3,3,4,0,4,3,2,1,5,2,0,2,1,5,2,5,3,4]	[0,1,1,0,0,1,2,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
3	8	521.8	89.896508	0.178227	[338.60,318.60,480.00,288.30,521.80,312.50]	[5,3,5,1,3,3,5,1,5,5,0,3,4,3,2,0,0,1,4,1,5,2,0,4]	[0,1,1,0,0,0,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
3	9	528.3	129.517433	0.169412	[369.20,131.80,486.20,425.40,319.50,528.30]	[4,0,4,4,3,2,1,3,3,5,3,3,0,0,0,4,5,0,2,1,0,5,0,1]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
3	10	537.7	126.218031	0.171664	[218.60,448.30,510.00,268.10,276.80,537.70]	[1,3,3,5,4,1,1,1,3,5,0,1,3,2,1,4,3,4,2,0,3,5,0,0]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
3	11	538.6	146.894434	0.169251	[414.20,160.00,538.60,444.50,193.60,506.20]	[0,0,5,4,2,3,0,0,4,3,1,3,4,1,3,3,4,2,5,0,0,2,4,3]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
3	12	543.6	93.204657	0.173981	[348.60,279.50,543.60,348.60,288.00,450.00]	[2,2,1,3,0,4,4,0,3,1,0,1,1,4,4,3,4,3,5,4,3,2,0,1]	[0,0,0,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
3	13	548.6	114.312068	0.170468	[407.50,240.00,548.60,276.00,490.00,297.70]	[0,0,5,0,5,3,0,5,0,0,3,1,3,2,3,1,0,4,2,0,5,4,3,2]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
3	14	561.8	188.134388	0.166419	[427.80,561.80,136.50,484.80,548.60,100.00]	[0,0,2,1,2,3,1,3,2,0,5,3,0,4,3,0,4,3,4,3,0,1,1,3]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
3	15	573	158.91618	0.168184	[573.00,198.00,130.00,490.80,419.20,450.00]	[4,4,1,3,0,0,2,3,3,0,4,3,4,3,3,4,1,1,5,3,2,0,2,1]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
3	16	578.6	175.879167	0.167309	[290.70,248.00,516.20,528.60,578.60,96.80]	[5,2,0,3,3,0,0,3,4,1,1,3,3,4,4,3,1,0,2,5,0,4,1,0]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
