run	wall_clock_runtime_sec	objective_evaluations	evaluation_wall_time_sec	avg_time_per_evaluation_sec	front_size	pop_size	max_gen	c1	c2	w
1	2.155457	3030	0.757966	0.00025015	1	30	100	1.2	1.2	0.5
2	2.881242	3030	0.805884	0.00026597	8	30	100	1.2	1.2	0.5
3	2.681141	3030	0.669684	0.00022102	22	30	100	1.2	1.2	0.5
4	2.745109	3030	0.682882	0.00022537	22	30	100	1.2	1.2	0.5
5	3.241312	3030	0.794853	0.00026233	21	30	100	1.2	1.2	0.5
6	3.212083	3030	0.783578	0.00025861	21	30	100	1.2	1.2	0.5
7	3.436968	3030	0.807831	0.00026661	19	30	100	1.2	1.2	0.5
8	3.072218	3030	0.802832	0.00026496	16	30	100	1.2	1.2	0.5
9	3.120387	3030	0.773996	0.00025544	19	30	100	1.2	1.2	0.5
10	3.342332	3030	0.852956	0.0002815	30	30	100	1.2	1.2	0.5
11	3.570069	3030	0.889448	0.00029355	21	30	100	1.2	1.2	0.5
12	2.82654	3030	0.805612	0.00026588	11	30	100	1.2	1.2	0.5
13	2.698131	3030	0.768663	0.00025368	12	30	100	1.2	1.2	0.5
14	3.69489	3030	0.893007	0.00029472	21	30	100	1.2	1.2	0.5
15	3.045071	3030	0.848562	0.00028005	17	30	100	1.2	1.2	0.5
16	3.296737	3030	0.864113	0.00028519	28	30	100	1.2	1.2	0.5
17	3.854295	3030	0.974852	0.00032173	18	30	100	1.2	1.2	0.5
18	3.655507	3030	1.090819	0.00036001	13	30	100	1.2	1.2	0.5
19	3.210116	3030	1.044829	0.00034483	12	30	100	1.2	1.2	0.5
20	3.551006	3030	0.991128	0.0003271	12	30	100	1.2	1.2	0.5
