run	solution_id	CT	LoadSTD	QLoss	station_loads	station_assignment	tool_assignment
1	1	496.8	121.30284	0.165836	[290.00,450.00,160.00,494.60,366.00,496.80]	[3,3,3,3,3,4,4,4,4,3,0,3,3,0,0,2,3,0,1,4,4,5,5,5]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
1	2	496.8	86.464374	0.169832	[290.00,450.00,266.20,428.10,324.80,496.80]	[3,2,3,3,3,4,4,4,4,3,0,3,3,0,0,2,3,0,1,2,4,5,5,5]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
1	3	496.8	89.086146	0.168814	[290.00,450.00,287.40,444.30,288.60,496.80]	[3,3,2,3,3,3,4,4,4,2,0,3,3,0,0,2,3,0,1,3,4,5,5,5]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
1	4	496.8	120.963361	0.166619	[290.00,450.00,160.00,492.50,366.00,496.80]	[3,3,3,3,3,4,4,4,4,3,0,3,3,0,0,2,3,0,1,4,4,5,5,5]	[0,1,1,0,0,1,2,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
1	5	496.8	78.543203	0.171172	[290.00,450.00,296.20,396.90,323.60,496.80]	[3,2,3,3,3,3,4,4,4,2,0,3,4,0,0,2,3,0,1,3,4,5,5,5]	[0,1,0,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
1	6	496.8	98.82096	0.168445	[290.00,450.00,256.20,471.60,288.60,496.80]	[3,3,2,3,3,3,4,4,4,3,0,3,3,0,0,2,3,0,1,2,4,5,5,5]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
1	7	496.8	73.116201	0.173401	[290.00,450.00,337.40,353.60,324.80,496.80]	[3,2,3,3,3,4,4,4,4,2,0,3,3,0,0,2,3,0,1,2,4,5,5,5]	[0,1,0,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
1	8	496.8	104.293411	0.167397	[290.00,450.00,216.20,474.20,324.80,496.80]	[3,3,2,3,3,4,4,4,4,3,0,3,3,0,0,2,3,0,1,3,4,5,5,5]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
1	9	496.8	108.428877	0.166823	[290.00,450.00,231.20,496.30,288.60,496.80]	[3,3,3,3,3,3,4,4,4,2,0,3,3,0,0,2,3,0,1,3,4,5,5,5]	[0,0,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
1	10	512.2	114.883327	0.166023	[290.00,450.00,216.20,512.20,288.60,496.80]	[3,3,2,3,3,3,4,4,4,3,0,3,3,0,0,2,3,0,1,3,4,5,5,5]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
