run	idx_in_front	CT	LoadSTD	QLoss	station_loads	station_assignment	tool_assignment
1	1	450	52.465589	0.169818	[412.70,304.00,420.00,340.10,339.90,450.00]	[3,3,4,0,4,1,3,3,4,0,0,4,1,1,1,0,4,1,5,4,0,2,4,1]	[0,1,1,0,0,0,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
1	2	450	48.79998	0.171061	[314.50,398.60,420.00,340.10,339.90,450.00]	[3,3,4,0,4,1,3,3,4,0,1,4,1,1,1,0,4,1,5,4,0,2,4,1]	[0,1,1,0,0,0,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
2	1	536.8	114.731301	0.170135	[392.70,399.50,450.00,314.30,536.80,168.60]	[1,1,3,4,5,3,1,0,4,0,1,1,3,5,5,0,4,3,2,1,3,4,3,3]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
2	2	536.8	96.223947	0.172684	[268.00,399.50,450.00,277.20,536.80,328.60]	[1,1,3,4,5,3,1,0,4,0,1,1,0,5,5,5,4,3,2,1,3,4,3,3]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
2	3	501.8	112.357457	0.171702	[392.70,399.50,486.80,314.30,501.80,168.60]	[1,1,3,4,5,3,1,0,4,0,1,1,3,5,5,0,2,3,2,1,3,4,3,3]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
2	4	501.8	93.381769	0.174252	[268.00,399.50,486.80,277.20,501.80,328.60]	[1,1,3,4,5,3,1,0,4,0,1,1,0,5,5,5,2,3,2,1,3,4,3,3]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
3	1	506.8	95.732934	0.170659	[380.40,506.80,315.10,431.80,205.40,420.00]	[1,0,3,0,3,2,0,2,4,3,3,2,4,0,4,3,2,4,1,0,0,5,0,0]	[0,0,0,0,0,1,2,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
4	1	485	121.200958	0.16772	[376.00,456.80,116.80,418.60,403.00,485.00]	[4,3,0,0,3,3,4,4,1,4,3,2,0,4,3,0,0,3,5,0,5,1,3,2]	[0,0,1,0,0,0,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
4	2	491.8	121.527797	0.166511	[376.00,491.80,116.80,418.60,403.00,450.00]	[4,3,0,0,3,3,4,4,1,4,3,2,0,4,3,0,0,3,5,0,1,1,3,2]	[0,0,1,0,0,0,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
5	1	556.8	103.799557	0.175985	[258.60,251.30,420.00,556.80,371.00,401.80]	[0,1,4,4,5,1,4,5,3,1,0,4,3,4,0,5,1,4,3,1,3,2,0,5]	[0,0,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
