run	idx_in_front	CT	LoadSTD	QLoss	station_loads	station_assignment	tool_assignment
1	1	546.8	133.521889	0.165836	[368.40,306.90,486.80,546.80,133.60,420.00]	[3,3,0,1,1,0,0,3,4,1,1,0,0,4,0,3,3,3,2,0,4,5,1,2]	[0,0,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
1	2	546.8	124.297257	0.16721	[331.00,306.90,486.80,546.80,169.80,420.00]	[3,3,0,1,1,4,0,3,4,1,1,0,0,4,0,3,3,3,2,0,4,5,1,2]	[0,0,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
1	3	486.8	100.88172	0.167424	[368.40,306.90,486.80,481.80,200.40,420.00]	[3,4,0,1,1,0,0,3,4,1,1,0,0,4,0,3,3,3,2,0,4,5,1,2]	[0,0,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
1	4	486.8	92.687444	0.168798	[331.00,306.90,486.80,481.80,236.90,420.00]	[3,4,0,1,1,4,0,3,4,1,1,0,0,4,0,3,3,3,2,0,4,5,1,2]	[0,0,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
1	5	486.8	87.695471	0.170451	[331.00,463.30,486.80,321.80,236.90,420.00]	[3,4,0,1,1,4,0,1,4,1,1,0,0,4,0,3,3,3,2,0,4,5,1,2]	[0,0,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
1	6	486.8	87.205632	0.171663	[331.00,422.70,486.80,323.60,236.90,460.00]	[3,4,0,1,1,4,0,1,4,1,1,0,0,4,0,3,3,3,2,0,4,5,5,2]	[0,0,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
2	1	552.7	135.576417	0.170257	[552.70,376.80,450.00,436.80,325.50,116.50]	[3,3,0,1,5,4,4,1,4,5,1,3,4,4,4,3,4,1,2,0,3,0,3,0]	[0,0,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
2	2	476.2	76.443321	0.180201	[476.20,413.60,450.00,333.60,326.90,258.00]	[3,5,0,1,5,4,4,1,5,5,1,3,4,4,4,3,4,1,2,5,3,0,4,1]	[0,0,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
2	3	552.7	169.37699	0.167459	[552.70,380.40,450.00,507.70,333.70,35.00]	[3,3,0,1,4,4,4,1,5,3,1,3,4,4,4,3,4,1,2,0,3,0,3,0]	[0,0,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
2	4	476.2	134.940041	0.172667	[476.20,411.80,450.00,469.50,367.00,86.80]	[3,3,0,1,5,4,4,1,4,3,1,3,4,4,4,3,4,1,2,5,3,0,4,1]	[0,0,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
2	5	552.7	149.468354	0.168683	[552.70,376.80,450.00,436.80,372.30,70.00]	[3,3,0,1,4,4,4,1,4,5,1,3,4,4,4,3,4,1,2,0,3,0,3,0]	[0,0,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
2	6	516.2	143.619757	0.17025	[516.20,411.80,450.00,436.80,372.30,70.00]	[3,3,0,1,4,4,4,1,4,5,1,3,4,4,4,3,4,1,2,0,3,0,3,1]	[0,0,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
2	7	507.7	141.614967	0.171456	[476.20,411.80,450.00,507.70,325.50,86.80]	[3,3,0,1,5,4,4,1,4,3,1,3,4,4,4,3,4,1,2,5,3,0,3,1]	[0,0,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
2	8	507.7	156.552224	0.169882	[476.20,411.80,450.00,507.70,372.30,40.00]	[3,3,0,1,4,4,4,1,4,3,1,3,4,4,4,3,4,1,2,5,3,0,3,1]	[0,0,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
2	9	512.7	127.795731	0.171105	[512.70,376.80,450.00,436.80,372.30,111.20]	[3,3,0,1,4,4,4,1,4,5,1,3,4,4,4,3,4,1,2,5,3,0,3,0]	[0,0,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
2	10	476.2	80.388674	0.17879	[476.20,411.80,450.00,373.60,295.40,251.60]	[3,5,0,1,4,5,4,1,5,5,1,3,4,4,4,3,4,1,2,5,3,0,3,1]	[0,0,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
2	11	476.2	83.783544	0.177423	[476.20,411.80,450.00,373.60,325.50,225.10]	[3,5,0,1,5,4,4,1,4,5,1,3,4,4,4,3,4,1,2,5,3,0,3,1]	[0,0,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
